id,title,username,owner
38,BSP Kunstwerken,hoffmannn,pnhcontent_bu
39,bu_bim_groep_GD4636_N208_Rateltikkers,banninkl,pnh_bu_bim
40,bu_bim_groep_GD4636_N208_Rateltikkers,Bosma,pnh_bu_bim
41,bu_bim_groep_GD4636_N208_Rateltikkers,grootenw,pnh_bu_bim
42,bu_bim_groep_GD4680_Wijckerpoort,drente,pnh_bu_bim
43,bu_bim_groep_GD4680_Wijckerpoort,ext_bu_kerkk,pnh_bu_bim
44,bu_bim_groep_GD4680_Wijckerpoort,ext_bu_kootstrar,pnh_bu_bim
45,bu_bim_groep_GD4680_Wijckerpoort,ext_bu_kuilmanp,pnh_bu_bim
46,bu_bim_groep_GD4680_Wijckerpoort,hoekelena,pnh_bu_bim
47,bu_bim_groep_GD4680_Wijckerpoort,kuipersr,pnh_bu_bim
48,bu_bim_groep_GD4681_N239,ext_bu_heldenr,pnhcontent_bu
49,bu_bim_groep_GD4681_N239,ext_bu_melism,pnhcontent_bu
50,bu_bim_groep_GD4681_N239,pnh_bu_bim,pnhcontent_bu
51,bu_bim_groep_GD4810_HOV_Noordwijk_Schiphol,ext_bu_beijerg,pnh_bu_bim
52,bu_bim_groep_GD4810_HOV_Noordwijk_Schiphol,ext_bu_goedhartb,pnh_bu_bim
53,bu_bim_groep_GD4810_HOV_Noordwijk_Schiphol,ext_bu_kikj,pnh_bu_bim
54,bu_bim_samenwerkingsgroep_GD4681_N239,ext_bu_vantrigtr,pnhportaladmin
55,bu_bim_samenwerkingsgroep_GD4681_N239,ext_bu_visserd,pnhportaladmin
56,bu_bim_samenwerkingsgroep_GD4681_N239,Hopmanp,pnhportaladmin
57,bu_bim_samenwerkingsgroep_GD4681_N239,pnh_bu_bim,pnhportaladmin
58,bu_bim_samenwerkingsgroep_GD4681_N239,soerjoesingm,pnhportaladmin
59,bu_Cruquiusbrug_Ingenieur,Bosma,pnhcontent_bu
60,bu_Cruquiusbrug_Ingenieur,ext_cruq_ing,pnhcontent_bu
61,bu_Cruquiusbrug_Ingenieur,Giesens,pnhcontent_bu
62,bu_Cruquiusbrug_Ingenieur,soerjoesingm,pnhcontent_bu
63,bu_groep_GD4679_KVSS_BVS,ext_bu_adriaansensd,pnh_bu_bim
64,bu_groep_GD4679_KVSS_BVS,ext_bu_baltusp,pnh_bu_bim
65,bu_groep_GD4679_KVSS_BVS,ext_bu_feddemap,pnh_bu_bim
66,bu_groep_GD4679_KVSS_BVS,ext_bu_janmaatd,pnh_bu_bim
67,bu_groep_GD4679_KVSS_BVS,ext_bu_nijdama,pnh_bu_bim
68,bu_groep_GD4679_KVSS_BVS,ext_bu_seurenj,pnh_bu_bim
69,bu_groep_GD4679_KVSS_BVS,ext_bu_vierhoutw,pnh_bu_bim
70,bu_groep_GD4679_KVSS_BVS,ext_bu_wicharde,pnh_bu_bim
71,bu_n302,banninkl,pnhcontent_bu
72,bu_n302,ext_bu_kramerb,pnhcontent_bu
73,bu_n302,koppesr,pnhcontent_bu
74,bu_n506,banninkl,pnhcontent_bu
75,bu_n506,ext_bu_hendrickxp,pnhcontent_bu
76,bu_n506,ext_bu_kramerb,pnhcontent_bu
77,bu_n506,koppesr,pnhcontent_bu
78,bu_raadplegers_n525,ext_bu_herweijerw,pnhcontent_bu
79,bu_raadplegers_n525,ext_bu_holwerdas,pnhcontent_bu
80,bu_raadplegers_n525,ext_bu_hoogerwaards,pnhcontent_bu
81,bu_raadplegers_n525,ext_bu_kramerr,pnhcontent_bu
82,bu_raadplegers_n525,ext_bu_vennegoorofhesselinkw,pnhcontent_bu
83,bu_raadplegers_n525,ext_bu_wezemana,pnhcontent_bu
84,bu_samenwerkingsgroep_GD-3719_N247_19E20_19G53,ext_bu_brinkmanm,pnhportaladmin
85,bu_samenwerkingsgroep_GD-3719_N247_19E20_19G53,ext_bu_hendrickxp,pnhportaladmin
86,bu_samenwerkingsgroep_GD-3719_N247_19E20_19G53,soerjoesingm,pnhportaladmin
87,bu_samenwerkingsgroep_N243,ext_projectteamn243,pnhportaladmin
88,bu_samenwerkingsgroep_N243,hellmannf,pnhportaladmin
89,bu_samenwerkingsgroep_N243,hoffmannn,pnhportaladmin
90,bu_samenwerkingsgroep_N243,Hopmanp,pnhportaladmin
91,bu_samenwerkingsgroep_N243,nijsj,pnhportaladmin
92,bu_samenwerkingsgroep_N243,pnhcarto_bu,pnhportaladmin
93,bu_samenwerkingsgroep_N243,soerjoesingm,pnhportaladmin
94,bu_samenwerkingsgroep_N247,ext_bu_dejongek,pnhportaladmin
95,bu_samenwerkingsgroep_N247,ext_bu_hendrickxp,pnhportaladmin
96,bu_samenwerkingsgroep_N247,ext_bu_hulsenj,pnhportaladmin
97,bu_samenwerkingsgroep_N247,ext_bu_vantrigtr,pnhportaladmin
98,bu_samenwerkingsgroep_N247,ext_bu_visserd,pnhportaladmin
99,bu_samenwerkingsgroep_N247,ext_n247bim,pnhportaladmin
100,bu_samenwerkingsgroep_N247,hellmannf,pnhportaladmin
101,bu_samenwerkingsgroep_N247,hoffmannn,pnhportaladmin
102,bu_samenwerkingsgroep_N247,pnhcontent_bu,pnhportaladmin
103,bu_samenwerkingsgroep_N247,soerjoesingm,pnhportaladmin
104,bu_samenwerkingsgroep_N302,ext_bu_hendrickxp,pnhportaladmin
105,bu_samenwerkingsgroep_N302,ext_bu_kramerb,pnhportaladmin
106,bu_samenwerkingsgroep_N302,ext_n247bim,pnhportaladmin
107,bu_samenwerkingsgroep_N302,pnhcarto_bu,pnhportaladmin
108,bu_samenwerkingsgroep_N506,ext_bu_kramerb,pnhportaladmin
109,bu_samenwerkingsgroep_N506,ext_n247bim,pnhportaladmin
110,bu_samenwerkingsgroep_N506,pnhcarto_bu,pnhportaladmin
111,bu_samenwerkingsgroep_schouw,eijkmanh,pnhportaladmin
112,bu_samenwerkingsgroep_schouw,ext_bu_schouw,pnhportaladmin
113,bu_samenwerkingsgroep_schouw,Tuinr,pnhportaladmin
162,N201_Plantvakken,gulmansj,pnhcarto_bu
163,N247 read_only,bruynj,pnhcontent_bu
170,Samenwerkingsgroep PMG,pnhcontent_oi,pnhportaladmin
171,samenwerkingsgroep PMI,pnhcontent_oi,pnhportaladmin
172,samenwerkingsgroep PMI,pnhproductie,pnhportaladmin
173,Samenwerkingsgroep PMO,Plompa,pnhportaladmin
174,Samenwerkingsgroep PMO,pnhcontent_oi,pnhportaladmin
175,Samenwerkingsgroep PMO,pnhproductie,pnhportaladmin
176,Samenwerkingsgroep Waterrecreatie,Cornfieldr,pnhportaladmin
177,Samenwerkingsgroep Waterrecreatie,kolsterc,pnhportaladmin
178,Samenwerkingsgroep Waterrecreatie,noorts,pnhportaladmin
179,Samenwerkingsgroep Waterrecreatie,pnhcontent_oi,pnhportaladmin
180,Samenwerkingsgroep Waterrecreatie,pnhproductie,pnhportaladmin
181,Samenwerkingsgroep Waterrecreatie,prevoc,pnhportaladmin
182,Samenwerkingsgroep Waterrecreatie,Wildl,pnhportaladmin
183,Survey123_groep,geertsmag,pnhportaladmin
184,Templates,Plompa,pnhportaladmin
